UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 11:59 ?        00:00:01 /sbin/init
root         2     0  0 11:59 ?        00:00:00 [kthreadd]
root         3     2  0 11:59 ?        00:00:00 [ksoftirqd/0]
root         5     2  0 11:59 ?        00:00:00 [kworker/0:0H]
root         7     2  0 11:59 ?        00:00:04 [rcu_sched]
root         8     2  0 11:59 ?        00:00:02 [rcuos/0]
root         9     2  0 11:59 ?        00:00:03 [rcuos/1]
root        10     2  0 11:59 ?        00:00:00 [rcu_bh]
root        11     2  0 11:59 ?        00:00:00 [rcuob/0]
root        12     2  0 11:59 ?        00:00:00 [rcuob/1]
root        13     2  0 11:59 ?        00:00:00 [migration/0]
root        14     2  0 11:59 ?        00:00:00 [watchdog/0]
root        15     2  0 11:59 ?        00:00:00 [watchdog/1]
root        16     2  0 11:59 ?        00:00:00 [migration/1]
root        17     2  0 11:59 ?        00:00:00 [ksoftirqd/1]
root        19     2  0 11:59 ?        00:00:00 [kworker/1:0H]
root        20     2  0 11:59 ?        00:00:00 [khelper]
root        21     2  0 11:59 ?        00:00:00 [kdevtmpfs]
root        22     2  0 11:59 ?        00:00:00 [netns]
root        23     2  0 11:59 ?        00:00:00 [writeback]
root        24     2  0 11:59 ?        00:00:00 [kintegrityd]
root        25     2  0 11:59 ?        00:00:00 [bioset]
root        26     2  0 11:59 ?        00:00:00 [kworker/u5:0]
root        27     2  0 11:59 ?        00:00:00 [kblockd]
root        28     2  0 11:59 ?        00:00:00 [ata_sff]
root        29     2  0 11:59 ?        00:00:00 [khubd]
root        30     2  0 11:59 ?        00:00:00 [md]
root        31     2  0 11:59 ?        00:00:00 [devfreq_wq]
root        34     2  0 11:59 ?        00:00:00 [khungtaskd]
root        35     2  0 11:59 ?        00:00:00 [kswapd0]
root        36     2  0 11:59 ?        00:00:00 [ksmd]
root        37     2  0 11:59 ?        00:00:01 [khugepaged]
root        38     2  0 11:59 ?        00:00:00 [fsnotify_mark]
root        39     2  0 11:59 ?        00:00:00 [ecryptfs-kthrea]
root        40     2  0 11:59 ?        00:00:00 [crypto]
root        52     2  0 11:59 ?        00:00:00 [kthrotld]
root        74     2  0 11:59 ?        00:00:00 [deferwq]
root        75     2  0 11:59 ?        00:00:00 [charger_manager]
root       123     2  0 11:59 ?        00:00:00 [firewire]
root       124     2  0 11:59 ?        00:00:00 [firewire_ohci]
root       125     2  0 11:59 ?        00:00:00 [scsi_eh_0]
root       126     2  0 11:59 ?        00:00:00 [scsi_eh_1]
root       127     2  0 11:59 ?        00:00:00 [scsi_eh_2]
root       128     2  0 11:59 ?        00:00:00 [scsi_eh_3]
root       129     2  0 11:59 ?        00:00:00 [scsi_eh_4]
root       130     2  0 11:59 ?        00:00:00 [scsi_eh_5]
root       147     2  0 11:59 ?        00:00:00 [kworker/u5:1]
root       148     2  0 11:59 ?        00:00:00 [jbd2/sda1-8]
root       149     2  0 11:59 ?        00:00:00 [ext4-rsv-conver]
root       274     1  0 11:59 ?        00:00:00 upstart-udev-bridge --daemon
root       280     1  0 11:59 ?        00:00:00 /lib/systemd/systemd-udevd --daemon
root       346     2  0 11:59 ?        00:00:00 [cfg80211]
root       348     2  0 11:59 ?        00:00:46 [irq/47-iwlwifi]
root       358     2  0 11:59 ?        00:00:00 [kpsmoused]
root       362     2  0 11:59 ?        00:00:00 [pccardd]
root       378     2  0 11:59 ?        00:00:00 [iwlwifi]
root       491     2  0 12:00 ?        00:00:00 [hd-audio0]
root       533     1  0 12:00 ?        00:00:00 upstart-socket-bridge --daemon
root       605     1  0 12:00 ?        00:00:00 smbd -F
message+   684     1  0 12:00 ?        00:00:10 dbus-daemon --system --fork
syslog     712     1  0 12:00 ?        00:00:00 rsyslogd
root       721     1  0 12:00 ?        00:00:00 /lib/systemd/systemd-logind
root       728     1  0 12:00 ?        00:00:00 /usr/sbin/ModemManager
root       729     1  0 12:00 ?        00:00:00 /usr/sbin/bluetoothd
root       746     2  0 12:00 ?        00:00:00 [krfcommd]
root       751     1  0 12:00 ?        00:00:00 upstart-file-bridge --daemon
root       808     1  0 12:00 ?        00:00:17 NetworkManager
root       814     1  0 12:00 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
avahi      819     1  0 12:00 ?        00:00:00 avahi-daemon: running [Milkyway.local]
avahi      825   819  0 12:00 ?        00:00:00 avahi-daemon: chroot helper
root       832   605  0 12:00 ?        00:00:00 smbd -F
root       839     1  0 12:00 ?        00:00:01 /sbin/wpa_supplicant -B -P /run/sendsigs.omit.d/wpasupplicant.pid -u -s -O /var/run/wpa_supplicant
root       848   808  0 12:00 ?        00:00:00 /sbin/dhclient -d -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /run/sendsigs.omit.d/network-manager.dhclient-eth0.pid -lf /var/lib/NetworkManager/dhclient-dc2ecd98-84a0-47bf-b237-f1b22129a2ee-eth0.lease -cf /var/lib/NetworkManager/dhclient-eth0.conf eth0
root       880     1  0 12:00 tty4     00:00:00 /sbin/getty -8 38400 tty4
root       884     1  0 12:00 tty5     00:00:00 /sbin/getty -8 38400 tty5
root       892     1  0 12:00 tty2     00:00:00 /sbin/getty -8 38400 tty2
root       894     1  0 12:00 tty3     00:00:00 /sbin/getty -8 38400 tty3
root       897     1  0 12:00 tty6     00:00:00 /sbin/getty -8 38400 tty6
root       936     1  0 12:00 ?        00:00:00 /usr/sbin/sshd -D
mongodb    946     1  0 12:00 ?        00:03:40 /usr/bin/mongod --config /etc/mongodb.conf
root       952     1  0 12:00 ?        00:00:00 cron
daemon     953     1  0 12:00 ?        00:00:00 atd
root       993     1  0 12:00 ?        00:00:07 acpid -c /etc/acpi/events -s /var/run/acpid.socket
kernoops   996     1  0 12:00 ?        00:00:00 /usr/sbin/kerneloops
